﻿Monthly Mean Discharge (m3/s) (PARAM = 1) and Monthly Mean Water Level (m) (PARAM = 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ID,PARAM,TYPE,Year,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM,Mean
05BB001,1,1,1951,9.27,,7,,6.12,,10.7,,71.9,,107,,149,,68.8,,38.9,,26.9,,15.4,,11.2,,43.9
05BB001,1,1,1952,9.75,,8.98,,7.69,,14,,66.6,,117,,105,,67.6,,32,,22.4,,11.5,,9.18,,39.5
05BB001,1,1,1953,9.58,,7.53,,7.61,,8.29,,35.6,,128,,119,,64.3,,38.4,,25.3,,17.1,,11.7,,39.6
05BB001,1,1,1954,8.82,,9.05,,8.61,,9.17,,45.9,,130,,184,,96.2,,60.1,,26.4,,18.1,,11.3,,50.9
05BB001,1,1,1955,9.7,,8.18,,8.38,,8.19,,20.3,,128,,122,,60.3,,35.3,,20.2,,13.9,,11.3,,37.3
05BB001,1,1,1956,9.71,,7.08,,7.52,,11.1,,75,,149,,97.3,,54.6,,27.2,,17.2,,11.3,,8.26,,39.7
05BB001,1,1,1957,8.77,,7.52,,6.77,,8.41,,90.5,,101,,70.2,,46.8,,29.7,,21.4,,13.7,,11.1,,34.8
05BB001,1,1,1958,9.93,,8.87,,6.9,,7.87,,88,,121,,95.3,,60.3,,33.8,,22.6,,12.8,,10,,40
05BB001,1,1,1959,9.68,,9.47,,8.26,,9.08,,41.7,,143,,118,,59.5,,49.2,,27.2,,17,,13.8,,42.3
05BB001,1,1,1960,9.03,,8.02,,9.85,,11.4,,27.9,,102,,121,,57,,35.5,,22.4,,15.4,,11.8,,36.1
05BB001,1,1,1961,9.12,,8.95,,8.64,,8.72,,69.9,,177,,83,,67.6,,31.2,,25.7,,14.3,,11.4,,43.1
05BB001,1,1,1962,9.2,,7.75,,8.1,,13.3,,38.3,,114,,104,,68.4,,35.5,,22.2,,16.2,,10.2,,37.4
05BB001,1,1,1963,8.32,,8.47,,8.33,,11.4,,44.8,,132,,109,,67.5,,45.9,,26,,16.5,,11.5,,41
